month,day,hour,GHI,solar_zenith_angle,clearsky_GHI,temperature,relative_humidity
1,1,6,0,98.78,0,25.200000000000003,96.11
1,1,6,0,91.9,0,25.3,95.54
1,1,7,23,84.85000000000001,52,25.4,96.18
1,1,7,73,78.04,153,25.700000000000003,94.59
1,1,8,178,71.18,271,25.9,93.74
1,1,8,277,64.34,391,26.4,91.02
1,1,9,462,57.57,510,26.8,87.38
1,1,9,533,50.89,620,27.3,84.86
1,1,10,552,44.37,721,27.8,81.28
1,1,10,712,38.1,806,28.200000000000003,79.42
1,1,11,878,32.230000000000004,878,28.5,76.76
1,1,11,932,27.04,932,28.8,75.37
1,1,12,969,23.0,969,29.1,72.83
1,1,12,987,20.78,987,29.200000000000003,72.34
1,1,13,748,20.99,985,29.4,70.92
1,1,13,965,23.56,965,29.5,70.52
1,1,14,926,27.83,926,29.6,70.03
1,1,14,869,33.160000000000004,869,29.6,70.03
1,1,15,786,39.11,786,29.6,70.15
1,1,15,698,45.43,698,29.5,70.56
1,1,16,496,51.98,599,29.4,71.60000000000001
1,1,16,488,58.68,488,29.3,72.01
1,1,17,371,65.47,371,29.200000000000003,74.63
1,1,17,251,72.31,251,28.9,75.93
1,1,18,78,79.17,135,28.6,78.62
1,1,18,31,85.97,38,28.3,80.0
1,2,6,0,98.9,0,25.6,96.05
1,2,6,0,92.02,0,25.700000000000003,95.58
1,2,7,4,84.96000000000001,52,25.8,94.75
1,2,7,154,78.14,154,26.1,93.18
1,2,8,18,71.28,272,26.4,89.74
1,2,8,110,64.44,392,26.9,87.23
1,2,9,367,57.65,510,27.3,83.10000000000001
1,2,9,619,50.97,619,27.8,80.71000000000001
1,2,10,719,44.44,719,28.200000000000003,77.26
1,2,10,473,38.16,804,28.5,75.93
1,2,11,875,32.27,875,28.8,73.89
1,2,11,505,27.05,930,29.0,73.05
1,2,12,706,22.97,966,29.200000000000003,72.44
1,2,12,851,20.71,983,29.3,72.02
1,2,13,798,20.88,983,29.4,72.02
1,2,13,963,23.43,963,29.4,72.02
1,2,14,680,27.69,925,29.5,71.97
1,2,14,276,33.02,869,29.4,72.38
1,2,15,797,38.97,797,29.4,73.11
1,2,15,434,45.3,709,29.3,73.46000000000001
1,2,16,608,51.86,608,29.200000000000003,74.89
1,2,16,498,58.56,498,29.1,75.32000000000001
1,2,17,380,65.35,380,28.9,78.52
1,2,17,133,72.2,259,28.700000000000003,79.43
1,2,18,141,79.06,141,28.4,82.46000000000001
1,2,18,42,85.87,42,28.1,83.91
1,3,6,0,99.01,0,25.700000000000003,96.84
1,3,6,0,92.13,0,25.700000000000003,96.93
1,3,7,50,85.07000000000001,50,25.700000000000003,96.56
1,3,7,152,78.24,152,25.9,95.43
1,3,8,270,71.37,270,26.0,94.46
1,3,8,390,64.53,390,26.4,92.26
1,3,9,507,57.74,507,26.700000000000003,88.59
1,3,9,616,51.05,616,27.3,85.53
1,3,10,716,44.51,716,27.9,80.34
1,3,10,802,38.21,802,28.4,77.97
1,3,11,874,32.3,874,28.9,74.5
1,3,11,929,27.06,929,29.3,72.8
1,3,12,688,22.94,954,29.700000000000003,70.44
1,3,12,971,20.64,971,29.9,69.64
1,3,13,703,20.77,973,30.200000000000003,68.22
1,3,13,953,23.29,953,30.4,67.45
1,3,14,915,27.55,915,30.5,67.23
1,3,14,858,32.88,858,30.6,66.85
1,3,15,779,38.84,779,30.6,67.37
1,3,15,691,45.17,691,30.6,67.37
1,3,16,595,51.73,595,30.6,68.63
1,3,16,484,58.43,484,30.4,69.41
1,3,17,369,65.23,369,30.200000000000003,72.83
1,3,17,249,72.08,249,29.9,74.09
1,3,18,135,78.95,135,29.5,78.27
1,3,18,38,85.77,38,29.1,80.17
1,4,6,0,99.13,0,25.700000000000003,96.01
1,4,6,0,92.24,0,25.8,95.54
1,4,7,46,85.17,46,25.9,94.95
1,4,7,61,78.34,145,26.1,93.93
1,4,8,263,71.47,263,26.3,91.97
1,4,8,383,64.62,383,26.700000000000003,89.92
1,4,9,501,57.82,501,27.1,86.25
1,4,9,612,51.120000000000005,612,27.6,83.77
1,4,10,713,44.57,713,28.1,79.86
1,4,10,799,38.25,799,28.5,78.03
1,4,11,872,32.33,872,28.9,75.46000000000001
1,4,11,563,27.06,926,29.3,73.67
1,4,12,963,22.9,963,29.6,71.87
1,4,12,982,20.56,982,29.8,70.98
1,4,13,981,20.65,981,30.1,69.61
1,4,13,962,23.15,962,30.200000000000003,69.14
1,4,14,924,27.4,924,30.3,68.86
1,4,14,867,32.74,867,30.4,68.47
1,4,15,790,38.7,790,30.4,68.87
1,4,15,702,45.03,702,30.3,69.26
1,4,16,604,51.6,604,30.3,70.42
1,4,16,493,58.31,493,30.1,71.23
1,4,17,377,65.11,377,30.0,73.92
1,4,17,257,71.97,257,29.6,75.7
1,4,18,140,78.85000000000001,140,29.3,78.35000000000001
1,4,18,42,85.67,42,29.0,79.72
1,5,6,0,99.25,0,26.200000000000003,93.73
1,5,6,0,92.35,0,26.3,93.27
1,5,7,46,85.27,46,26.4,92.13
1,5,7,145,78.44,145,26.8,90.09
1,5,8,261,71.56,261,27.1,86.22
1,5,8,381,64.71000000000001,381,27.5,84.23
1,5,9,499,57.9,499,28.0,80.32000000000001
1,5,9,609,51.19,609,28.4,78.48
1,5,10,710,44.63,710,28.9,75.17
1,5,10,510,38.3,797,29.3,73.46000000000001
1,5,11,870,32.35,870,29.700000000000003,71.09
1,5,11,925,27.05,925,30.0,69.88
1,5,12,572,22.86,936,30.3,68.5
1,5,12,658,20.47,955,30.6,67.34
