Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1780285,-,-,-,-2.43,-54.74,-4,15,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,
2020,1,1,0,30,0,0,25.1,151.98,0.17,1.7000000000000002,5.9,73,97.73,25.5,1004,N/A
2020,1,1,1,30,0,0,25.1,143.41,0.17,1.7000000000000002,5.800000000000001,70,98.3,25.400000000000002,1003,N/A
2020,1,1,2,30,0,0,25.1,131.85,0.17,1.5,5.800000000000001,72,98.77,25.3,1003,N/A
2020,1,1,3,30,0,0,25.1,119.01,0.17,1.5,5.800000000000001,76,98.59,25.3,1004,N/A
2020,1,1,4,30,0,0,25,105.57000000000001,0.17,1.6,5.7,77,98.85000000000001,25.200000000000003,1004,N/A
2020,1,1,5,30,0,0,24.900000000000002,91.87,0.17,1.7000000000000002,5.7,76,99.05,25.1,1005,N/A
2020,1,1,6,30,58,158,24.900000000000002,78,0.17,1.7000000000000002,5.7,72,97.48,25.3,1006,N/A
2020,1,1,7,30,212,396,24.6,64.31,0.17,1.8,5.7,68,92.32000000000001,25.900000000000002,1007,N/A
2020,1,1,8,30,460,622,23.8,50.86,0.17,1.8,5.7,63,82.29,27.1,1007,N/A
2020,1,1,9,30,553,807,22.900000000000002,38.07,0.17,1.8,5.7,59,71.59,28.5,1007,N/A
2020,1,1,10,30,640,930,22.200000000000003,27.02,0.17,1.7000000000000002,5.7,57,64.02,29.700000000000003,1006,N/A
