month,day,hour,ghi,solar_zenith_angle,clearsky_ghi,relative_humidity,temperature
1,1,5,0,91.9,0,95.82,25.200000000000003
1,1,6,74,78.03,155,95.42,25.5
1,1,7,297,64.33,394,91.81,26.200000000000003
1,1,8,554,50.88,623,85.57000000000001,27.1
1,1,9,656,38.09,810,80.08,28.0
1,1,10,859,27.03,936,76.0,28.6
1,1,11,930,20.76,990,72.95,29.0
1,1,12,969,23.54,969,71.04,29.3
1,1,13,869,33.15,869,70.63,29.4
1,1,14,702,45.42,702,71.16,29.3
1,1,15,470,58.67,490,72.62,29.1
1,1,16,207,72.31,252,76.58,28.700000000000003
1,1,17,27,85.96000000000001,41,80.71000000000001,28.1
1,2,5,0,92.01,0,96.38,25.5
1,2,6,53,78.13,155,94.05,25.9
1,2,7,179,64.43,394,88.03,26.700000000000003
1,2,8,396,50.96,622,81.42,27.6
1,2,9,584,38.14,808,76.58,28.3
1,2,10,540,27.04,933,73.67,28.8
1,2,11,741,20.69,988,72.56,29.1
1,2,12,742,23.41,967,72.15,29.3
1,2,13,445,33.01,872,72.59,29.3
1,2,14,564,45.29,711,74.09,29.1
1,2,15,500,58.55,500,75.97,28.9
1,2,16,242,72.19,260,80.10000000000001,28.5
1,2,17,44,85.86,44,84.64,27.9
1,3,5,0,92.12,0,97.74,25.5
1,3,6,153,78.23,153,96.31,25.700000000000003
1,3,7,357,64.52,392,93.11,26.200000000000003
1,3,8,567,51.04,619,85.79,27.200000000000003
1,3,9,462,38.2,806,78.64,28.200000000000003
1,3,10,723,27.04,929,73.35000000000001,29.1
1,3,11,962,20.62,978,69.83,29.8
1,3,12,958,23.27,958,68.03,30.200000000000003
1,3,13,861,32.87,861,67.43,30.4
1,3,14,696,45.16,696,67.89,30.4
1,3,15,487,58.43,487,70.02,30.200000000000003
1,3,16,251,72.08,251,74.74,29.700000000000003
1,3,17,41,85.76,41,80.81,28.9
1,4,5,0,92.23,0,96.45,25.6
1,4,6,115,78.34,147,94.82,25.9
1,4,7,386,64.61,386,90.65,26.5
1,4,8,615,51.11,615,84.42,27.4
1,4,9,804,38.24,804,78.7,28.3
1,4,10,700,27.04,931,74.3,29.1
1,4,11,987,20.54,987,71.58,29.6
1,4,12,966,23.13,966,69.72,30.0
1,4,13,870,32.72,870,68.97,30.200000000000003
1,4,14,706,45.02,706,69.84,30.1
1,4,15,496,58.3,496,71.83,29.9
1,4,16,258,71.96000000000001,258,75.84,29.5
1,4,17,44,85.66,44,80.41,28.8
1,5,5,0,92.35,0,94.13,26.1
1,5,6,122,78.44,147,90.82,26.6
1,5,7,360,64.7,384,84.47,27.4
1,5,8,477,51.18,613,79.16,28.200000000000003
1,5,9,527,38.29,801,74.01,29.1
1,5,10,875,27.04,922,70.48,29.8
1,5,11,864,20.45,962,67.84,30.4
1,5,12,931,22.98,943,66.4,30.8
1,5,13,848,32.57,848,65.72,31.0
1,5,14,688,44.89,688,65.89,31.0
1,5,15,478,58.18,478,67.22,30.8
1,5,16,244,71.85000000000001,244,71.63,30.200000000000003
1,5,17,39,85.56,39,77.33,29.4
1,6,5,0,92.46,0,94.18,26.0
1,6,6,64,78.53,141,93.21,26.1
1,6,7,309,64.78,378,90.64,26.5
1,6,8,579,51.25,608,86.10000000000001,27.1
1,6,9,729,38.32,796,80.9,27.8
1,6,10,426,27.03,924,75.62,28.6
1,6,11,969,20.35,979,72.32000000000001,29.200000000000003
1,6,12,804,22.83,960,70.18,29.6
1,6,13,674,32.42,863,69.86,29.6
1,6,14,521,44.75,698,70.99,29.4
1,6,15,405,58.05,490,74.06,29.0
1,6,16,191,71.74,254,78.88,28.5
1,6,17,31,85.46000000000001,44,82.67,28.0
1,7,5,0,92.56,0,98.16,25.200000000000003
1,7,6,32,78.63,148,97.02,25.5
1,7,7,242,64.86,388,94.76,26.0
1,7,8,200,51.31,617,88.82000000000001,26.8
1,7,9,322,38.36,805,81.38,27.5
1,7,10,440,27.01,933,75.53,28.0
1,7,11,759,20.25,990,72.17,28.3
1,7,12,824,22.67,971,70.82000000000001,28.4
1,7,13,875,32.27,875,70.48,28.4
1,7,14,457,44.61,709,71.76,28.1
1,7,15,158,57.93,498,73.42,27.8
1,7,16,14,71.63,259,77.2,27.200000000000003
1,7,17,10,85.37,46,81.72,26.6
1,8,5,0,92.67,0,97.41,24.1
1,8,6,8,78.72,143,96.16,24.4
1,8,7,51,64.94,382,92.92,24.9
1,8,8,200,51.370000000000005,613,86.34,25.700000000000003
1,8,9,433,38.39,802,77.99,26.8
1,8,10,543,26.99,931,71.78,27.8
1,8,11,472,20.14,989,68.94,28.4
1,8,12,546,22.51,971,68.21000000000001,28.6
1,8,13,374,32.11,879,68.51,28.6
1,8,14,398,44.47,720,69.58,28.5
1,8,15,226,57.81,509,72.15,28.200000000000003
1,8,16,27,71.52,269,76.24,27.8
1,8,17,7,85.27,50,80.65,27.200000000000003
1,9,5,0,92.78,0,94.49,25.0
1,9,6,26,78.82000000000001,146,91.39,25.6
1,9,7,88,65.02,386,85.44,26.3
1,9,8,248,51.43,616,80.81,27.0
