month,hour,seasons,ghi,clearsky_ghi,solar_zenith_angle,relative_humidity,temperature
1,5,2,0,0,110.09,92.9,-1.7000000000000002
1,6,2,0,0,99.26,90.35,-1.9
1,7,2,3,15,88.73,84.88,-1.7000000000000002
1,8,2,16,143,79.93,77.87,-1.0
1,9,2,34,283,72.36,72.27,-0.1
1,10,2,53,390,66.81,69.45,0.9
1,11,2,64,445,63.86,68.58,1.5
1,12,2,67,444,63.88,68.92,1.7000000000000002
1,13,2,45,386,66.87,69.78,1.6
1,14,2,33,279,72.45,72.56,1.0
1,15,2,17,139,80.04,84.82000000000001,-0.5
1,16,2,4,14,88.85000000000001,90.74,-1.8
1,17,2,0,0,99.4,89.08,-2.1
1,18,2,0,0,110.24,91.28,-2.7
1,5,2,0,0,110.12,91.76,-2.7
1,6,2,0,0,99.28,90.39,-2.5
1,7,2,4,16,88.75,85.75,-1.9
1,8,2,22,145,79.92,77.89,-1.2000000000000002
1,9,2,33,284,72.34,71.35000000000001,-0.9
1,10,2,52,392,66.76,69.77,-0.8
1,11,2,55,449,63.78,69.27,-0.6000000000000001
1,12,2,97,451,63.78,70.18,-0.6000000000000001
1,13,2,66,395,66.75,72.03,-0.7000000000000001
1,14,2,41,289,72.32000000000001,75.11,-0.9
1,15,2,17,145,79.91,79.92,-1.3
1,16,2,4,15,88.73,84.05,-1.7000000000000002
1,17,2,0,0,99.26,84.39,-1.9
1,18,2,0,0,110.1,84.52,-2.5
1,5,2,0,0,110.15,92.79,-4.6000000000000005
1,6,2,0,0,99.31,92.34,-4.5
1,7,2,7,18,88.75,87.54,-3.7
1,8,2,153,157,79.92,78.58,-1.8
1,9,2,303,303,72.31,68.04,0.4
1,10,2,412,412,66.71000000000001,60.79,2.2
1,11,2,468,468,63.7,57.44,3.5
1,12,2,468,468,63.67,55.870000000000005,4.3
1,13,2,408,408,66.63,56.96,4.5
1,14,2,298,298,72.19,63.41,3.6
1,15,2,153,153,79.77,78.83,1.5
1,16,2,17,17,88.61,85.12,-0.1
1,17,2,0,0,99.12,85.26,-0.4
1,18,2,0,0,109.96,87.39,-0.9
1,5,2,0,0,110.18,90.26,-2.1
1,6,2,0,0,99.32,89.43,-2.0
1,7,2,17,17,88.76,80.95,-0.5
1,8,2,154,154,79.9,75.99,1.7000000000000002
1,9,2,298,298,72.27,66.62,3.4000000000000004
1,10,2,408,408,66.64,65.85,5.1000000000000005
1,11,2,424,466,63.61,63.17,7.0
1,12,2,387,466,63.56,55.67,8.200000000000001
1,13,2,389,408,66.5,58.95,7.9
1,14,2,300,300,72.05,76.44,5.800000000000001
1,15,2,156,156,79.62,95.31,2.6
1,16,2,18,18,88.48,95.43,0.7000000000000001
1,17,2,0,0,98.97,98.78,0.4
1,18,2,0,0,109.81,99.19,0.6000000000000001
1,5,2,0,0,110.2,100.0,-0.3
1,6,2,0,0,99.33,100.0,-0.2
1,7,2,17,17,88.76,97.19,0.1
1,8,2,143,152,79.88,90.52,1.4
1,9,2,295,295,72.22,82.74,3.6
1,10,2,403,403,66.57000000000001,75.17,6.2
1,11,2,461,461,63.51,69.06,8.3
1,12,2,463,463,63.440000000000005,67.74,9.6
1,13,2,407,407,66.36,71.16,9.8
1,14,2,300,300,71.9,85.54,8.0
1,15,2,158,158,79.47,100.0,4.6000000000000005
1,16,2,18,19,88.34,100.0,2.4000000000000004
1,17,2,0,0,98.82,100.0,2.1
