month,day,hour,seasons,ghi,clearsky_ghi,solar_zenith_angle,relative_humidity,temperature
1,1,5,2,0,0,115.67,92.9,-1.7000000000000002
1,1,5,2,0,0,110.09,92.9,-1.7000000000000002
1,1,6,2,0,0,104.6,89.59,-1.8
1,1,6,2,0,0,99.26,90.35,-1.9
1,1,7,2,0,0,94.08,86.69,-2.0
1,1,7,2,3,15,88.73,84.88,-1.7000000000000002
1,1,8,2,9,72,84.26,80.19,-1.4
1,1,8,2,16,143,79.93,77.87,-1.0
1,1,9,2,25,216,75.93,74.94,-0.6000000000000001
1,1,9,2,34,283,72.36,72.27,-0.1
1,1,10,2,44,342,69.29,72.0,0.4
1,1,10,2,53,390,66.81,69.45,0.9
1,1,11,2,53,424,64.98,69.57000000000001,1.3
1,1,11,2,64,445,63.86,68.58,1.5
1,1,12,2,72,451,63.49,68.92,1.7000000000000002
1,1,12,2,67,444,63.88,68.92,1.7000000000000002
1,1,13,2,50,421,65.02,69.28,1.7000000000000002
1,1,13,2,45,386,66.87,69.78,1.6
1,1,14,2,43,339,69.37,70.01,1.5
1,1,14,2,33,279,72.45,72.56,1.0
1,1,15,2,27,211,76.04,78.24,0.6000000000000001
1,1,15,2,17,139,80.04,84.82000000000001,-0.5
1,1,16,2,9,68,84.38,89.41,-1.6
1,1,16,2,4,14,88.85000000000001,90.74,-1.8
1,1,17,2,0,0,94.22,89.08,-2.1
1,1,17,2,0,0,99.4,89.08,-2.1
1,2,5,2,0,0,115.71,92.45,-2.8000000000000003
1,2,5,2,0,0,110.12,91.76,-2.7
1,2,6,2,0,0,104.64,90.97,-2.6
1,2,6,2,0,0,99.28,90.39,-2.5
1,2,7,2,0,0,94.1,88.32000000000001,-2.3000000000000003
1,2,7,2,4,16,88.75,85.75,-1.9
1,2,8,2,11,73,84.27,79.7,-1.5
1,2,8,2,22,145,79.92,77.89,-1.2000000000000002
1,2,9,2,29,217,75.92,71.88,-1.0
1,2,9,2,33,284,72.34,71.35000000000001,-0.9
1,2,10,2,36,344,69.26,70.28,-0.9
1,2,10,2,52,392,66.76,69.77,-0.8
1,2,11,2,57,428,64.92,69.77,-0.7000000000000001
1,2,11,2,55,449,63.78,69.27,-0.6000000000000001
1,2,12,2,51,457,63.4,70.26,-0.6000000000000001
1,2,12,2,97,451,63.78,70.18,-0.6000000000000001
1,2,13,2,64,431,64.91,71.58,-0.6000000000000001
1,2,13,2,66,395,66.75,72.03,-0.7000000000000001
1,2,14,2,44,348,69.25,74.57000000000001,-0.8
1,2,14,2,41,289,72.32000000000001,75.11,-0.9
1,2,15,2,29,219,75.9,78.76,-1.1
1,2,15,2,17,145,79.91,79.92,-1.3
1,2,16,2,8,72,84.25,82.83,-1.5
1,2,16,2,4,15,88.73,84.05,-1.7000000000000002
1,2,17,2,0,0,94.08,84.39,-1.9
1,2,17,2,0,0,99.26,84.39,-1.9
1,3,5,2,0,0,115.75,92.79,-4.6000000000000005
1,3,5,2,0,0,110.15,92.79,-4.6000000000000005
1,3,6,2,0,0,104.66,93.04,-4.6000000000000005
1,3,6,2,0,0,99.31,92.34,-4.5
1,3,7,2,0,0,94.12,91.57,-4.3
1,3,7,2,7,18,88.75,87.54,-3.7
1,3,8,2,41,81,84.27,85.87,-3.0
1,3,8,2,153,157,79.92,78.58,-1.8
1,3,9,2,233,233,75.9,73.69,-0.7000000000000001
1,3,9,2,303,303,72.31,68.04,0.4
1,3,10,2,363,363,69.22,64.43,1.4
1,3,10,2,412,412,66.71000000000001,60.79,2.2
